,word1,word2,cosine distance * 100
0,radio,book,82
1,radio,sandal,105
2,radio,nut,90
3,radio,thermostat,81
4,radio,button,78
5,radio,photocopier,95
6,radio,wallet,87
7,radio,airplane,71
8,radio,bag,86
9,book,sandal,94
10,book,nut,91
11,book,thermostat,99
12,book,button,86
13,book,photocopier,93
14,book,wallet,81
15,book,airplane,78
16,book,bag,76
17,sandal,nut,82
18,sandal,thermostat,95
19,sandal,button,85
20,sandal,photocopier,106
21,sandal,wallet,66
22,sandal,airplane,93
23,sandal,bag,66
24,nut,thermostat,79
25,nut,button,79
26,nut,photocopier,102
27,nut,wallet,80
28,nut,airplane,80
29,nut,bag,67
30,thermostat,button,72
31,thermostat,photocopier,85
32,thermostat,wallet,90
33,thermostat,airplane,86
34,thermostat,bag,87
35,button,photocopier,93
36,button,wallet,67
37,button,airplane,82
38,button,bag,68
39,photocopier,wallet,85
40,photocopier,airplane,89
41,photocopier,bag,95
42,wallet,airplane,78
43,wallet,bag,31
44,airplane,bag,73
