,word1,word2,cosine distance * 100
0,clock,needles,90
1,clock,pouch,87
2,clock,scarf,83
3,clock,cellphone,69
4,clock,stock,82
5,clock,cabinet,70
6,clock,glasses,74
7,clock,chocolate,80
8,clock,church,78
9,needles,pouch,74
10,needles,scarf,68
11,needles,cellphone,93
12,needles,stock,84
13,needles,cabinet,84
14,needles,glasses,80
15,needles,chocolate,81
16,needles,church,92
17,pouch,scarf,62
18,pouch,cellphone,67
19,pouch,stock,86
20,pouch,cabinet,76
21,pouch,glasses,72
22,pouch,chocolate,74
23,pouch,church,99
24,scarf,cellphone,83
25,scarf,stock,87
26,scarf,cabinet,88
27,scarf,glasses,63
28,scarf,chocolate,69
29,scarf,church,88
30,cellphone,stock,87
31,cellphone,cabinet,89
32,cellphone,glasses,72
33,cellphone,chocolate,82
34,cellphone,church,86
35,stock,cabinet,78
36,stock,glasses,82
37,stock,chocolate,79
38,stock,church,87
39,cabinet,glasses,76
40,cabinet,chocolate,82
41,cabinet,church,79
42,glasses,chocolate,66
43,glasses,church,85
44,chocolate,church,83
