,word1,word2,cosine distance * 100
0,banana,electricity,82
1,banana,table,77
2,banana,water,68
3,banana,elephant,63
4,banana,truck,79
5,banana,atoms,91
6,banana,stars,87
7,banana,heart,81
8,banana,steel,80
9,electricity,table,83
10,electricity,water,50
11,electricity,elephant,85
12,electricity,truck,75
13,electricity,atoms,75
14,electricity,stars,93
15,electricity,heart,85
16,electricity,steel,73
17,table,water,72
18,table,elephant,80
19,table,truck,79
20,table,atoms,82
21,table,stars,87
22,table,heart,81
23,table,steel,69
24,water,elephant,70
25,water,truck,71
26,water,atoms,79
27,water,stars,89
28,water,heart,71
29,water,steel,64
30,elephant,truck,74
31,elephant,atoms,91
32,elephant,stars,83
33,elephant,heart,71
34,elephant,steel,86
35,truck,atoms,100
36,truck,stars,90
37,truck,heart,84
38,truck,steel,66
39,atoms,stars,81
40,atoms,heart,89
41,atoms,steel,83
42,stars,heart,76
43,stars,steel,91
44,heart,steel,80
