,word1,word2,cosine distance * 100
0,house,values,77
1,house,entertainment,70
2,house,food,61
3,house,violence,80
4,house,cat,64
5,house,medicine,77
6,house,art,67
7,house,tree,59
8,house,electricity,62
9,values,entertainment,85
10,values,food,77
11,values,violence,75
12,values,cat,93
13,values,medicine,82
14,values,art,82
15,values,tree,77
16,values,electricity,82
17,entertainment,food,61
18,entertainment,violence,73
19,entertainment,cat,82
20,entertainment,medicine,82
21,entertainment,art,60
22,entertainment,tree,84
23,entertainment,electricity,80
24,food,violence,75
25,food,cat,60
26,food,medicine,58
27,food,art,67
28,food,tree,74
29,food,electricity,69
30,violence,cat,86
31,violence,medicine,77
32,violence,art,75
33,violence,tree,88
34,violence,electricity,82
35,cat,medicine,70
36,cat,art,70
37,cat,tree,64
38,cat,electricity,86
39,medicine,art,68
40,medicine,tree,77
41,medicine,electricity,78
42,art,tree,72
43,art,electricity,85
44,tree,electricity,79
