,word1,word2,cosine distance * 100
0,computer,salmon,95
1,computer,tree,79
2,computer,pottery,90
3,computer,student,58
4,computer,boat,78
5,computer,star,87
6,computer,stage,80
7,computer,aunt,85
8,computer,boxcar,107
9,salmon,tree,76
10,salmon,pottery,83
11,salmon,student,93
12,salmon,boat,64
13,salmon,star,92
14,salmon,stage,93
15,salmon,aunt,87
16,salmon,boxcar,95
17,tree,pottery,75
18,tree,student,88
19,tree,boat,73
20,tree,star,77
21,tree,stage,79
22,tree,aunt,75
23,tree,boxcar,92
24,pottery,student,87
25,pottery,boat,77
26,pottery,star,87
27,pottery,stage,90
28,pottery,aunt,80
29,pottery,boxcar,88
30,student,boat,84
31,student,star,78
32,student,stage,77
33,student,aunt,75
34,student,boxcar,107
35,boat,star,81
36,boat,stage,80
37,boat,aunt,78
38,boat,boxcar,81
39,star,stage,70
40,star,aunt,79
41,star,boxcar,105
42,stage,aunt,83
43,stage,boxcar,99
44,aunt,boxcar,95
