,word1,word2,cosine distance * 100
0,spaceship,flower,88
1,spaceship,dinosaur,63
2,spaceship,angel,75
3,spaceship,calendar,98
4,spaceship,rugby,97
5,spaceship,lawn,91
6,spaceship,axe,82
7,spaceship,faucet,94
8,spaceship,truck,74
9,flower,dinosaur,74
10,flower,angel,60
11,flower,calendar,79
12,flower,rugby,90
13,flower,lawn,57
14,flower,axe,89
15,flower,faucet,81
16,flower,truck,81
17,dinosaur,angel,74
18,dinosaur,calendar,86
19,dinosaur,rugby,82
20,dinosaur,lawn,80
21,dinosaur,axe,80
22,dinosaur,faucet,96
23,dinosaur,truck,78
24,angel,calendar,79
25,angel,rugby,94
26,angel,lawn,85
27,angel,axe,79
28,angel,faucet,88
29,angel,truck,84
30,calendar,rugby,82
31,calendar,lawn,83
32,calendar,axe,96
33,calendar,faucet,95
34,calendar,truck,89
35,rugby,lawn,81
36,rugby,axe,79
37,rugby,faucet,101
38,rugby,truck,87
39,lawn,axe,83
40,lawn,faucet,75
41,lawn,truck,62
42,axe,faucet,93
43,axe,truck,78
44,faucet,truck,86
