,word1,word2,cosine distance * 100
0,apple,liver,76
1,apple,robot,86
2,apple,paper,81
3,apple,spoon,62
4,apple,shoe,80
5,apple,deer,73
6,apple,space,82
7,apple,alcohol,73
8,apple,wall,79
9,liver,robot,93
10,liver,paper,89
11,liver,spoon,78
12,liver,shoe,98
13,liver,deer,71
14,liver,space,86
15,liver,alcohol,55
16,liver,wall,80
17,robot,paper,85
18,robot,spoon,84
19,robot,shoe,80
20,robot,deer,84
21,robot,space,65
22,robot,alcohol,98
23,robot,wall,78
24,paper,spoon,73
25,paper,shoe,79
26,paper,deer,86
27,paper,space,76
28,paper,alcohol,80
29,paper,wall,69
30,spoon,shoe,81
31,spoon,deer,82
32,spoon,space,90
33,spoon,alcohol,78
34,spoon,wall,79
35,shoe,deer,84
36,shoe,space,77
37,shoe,alcohol,88
38,shoe,wall,71
39,deer,space,84
40,deer,alcohol,78
41,deer,wall,76
42,space,alcohol,89
43,space,wall,54
44,alcohol,wall,87
