,word1,word2,cosine distance * 100
0,acorn,dolphin,81
1,acorn,plastic,81
2,acorn,hydrogen,97
3,acorn,market,96
4,acorn,virus,91
5,acorn,charcoal,83
6,acorn,bow,74
7,acorn,parachute,86
8,acorn,anarchy,86
9,dolphin,plastic,78
10,dolphin,hydrogen,92
11,dolphin,market,95
12,dolphin,virus,82
13,dolphin,charcoal,90
14,dolphin,bow,76
15,dolphin,parachute,81
16,dolphin,anarchy,94
17,plastic,hydrogen,77
18,plastic,market,74
19,plastic,virus,94
20,plastic,charcoal,72
21,plastic,bow,69
22,plastic,parachute,76
23,plastic,anarchy,99
24,hydrogen,market,80
25,hydrogen,virus,83
26,hydrogen,charcoal,74
27,hydrogen,bow,96
28,hydrogen,parachute,86
29,hydrogen,anarchy,89
30,market,virus,83
31,market,charcoal,90
32,market,bow,89
33,market,parachute,94
34,market,anarchy,88
35,virus,charcoal,96
36,virus,bow,100
37,virus,parachute,97
38,virus,anarchy,86
39,charcoal,bow,83
40,charcoal,parachute,93
41,charcoal,anarchy,95
42,bow,parachute,71
43,bow,anarchy,85
44,parachute,anarchy,93
