,word1,word2,cosine distance * 100
0,cake,mop,80
1,cake,gang,83
2,cake,keyboard,87
3,cake,kindness,81
4,cake,tablet,83
5,cake,charger,90
6,cake,scallop,67
7,cake,bomb,73
8,cake,love,60
9,mop,gang,83
10,mop,keyboard,81
11,mop,kindness,98
12,mop,tablet,88
13,mop,charger,85
14,mop,scallop,74
15,mop,bomb,86
16,mop,love,90
17,gang,keyboard,96
18,gang,kindness,87
19,gang,tablet,100
20,gang,charger,91
21,gang,scallop,96
22,gang,bomb,61
23,gang,love,73
24,keyboard,kindness,94
25,keyboard,tablet,55
26,keyboard,charger,68
27,keyboard,scallop,95
28,keyboard,bomb,90
29,keyboard,love,81
30,kindness,tablet,98
31,kindness,charger,105
32,kindness,scallop,99
33,kindness,bomb,89
34,kindness,love,51
35,tablet,charger,68
36,tablet,scallop,97
37,tablet,bomb,90
38,tablet,love,88
39,charger,scallop,101
40,charger,bomb,91
41,charger,love,92
42,scallop,bomb,94
43,scallop,love,88
44,bomb,love,78
